ptb_number,project_sequence,job_number,prequals,winner,project_label,score,district
160,,D-91-516-11,Special Services (Subsurface Utility Engineering),CARDNO TBE,Design,90.0,1/1
160,,C-91-390-11,Special Services (Construction Inspection),"Civiltech Engineering, Inc.",Construction,98.0,1/1
160,,D-91-506-11,Special Services (Surveying); Highways (Roads & Streets); Structures (Highway: Typical),"STRAND ASSOCIATES, INC.",Design,85.0,1/1
160,,P-91-526-11,Environmental Reports (Environmental Assessment); Structures (Highway: Complex); Location Design Studies (Reconstruction/Major Rehabilitation),MICHAEL BAKER JR. INC.,Planning,100,1/1
160,,P-91-500-11,Special Studies (Traffic),REGINA WEBSTER AND ASSOCIATES,Planning,89.0,1/1
160,,D-91-525-11,Special Services (Surveying),"CLAASSEN, WHITE & ASSOCIATES, P.C.",Design,100,1/1
160,,C-92-125-11,Special Services (Construction Inspection),"MCCLURE ENGINEERING ASSOCIATES, INC.",Construction,89.0,2/2
160,,C-92-126-11,Special Services (Construction Inspection),"MISSMAN, INC.",Construction,97.0,2/2
160,,C-93-084-11,Special Services (Quality Assurance PCC & Aggregate),S.T.A.T.E. TESTING,Construction,90.0,2/3
160,,C-93-085-11,Special Services (Construction Inspection),"CHRISTOPHER B. BURKE, ENGINEERING, LTD.",Construction,100,2/3
160,,C-94-015-10,Special Services (Construction Inspection),"MCDONOUGH ASSOC, INC.",Construction,82.0,3/4
160,,C-94-157-11,Special Services (Construction Inspection),"KASKASKIA ENGINEERING GROUP, LLC",Construction,100,3/4
160,,P-95-050-11,Geotechnical Services (General Geotechnical Services); Geotechnical Services (Structure Geotechnical Reports (SGR)); Geotechnical Services (Subsurface Explorations),MCCLEARY ENGINEERING,Planning,92.0,3/5
160,,P-95-052-11,Special Services (Aerial Mapping: LiDAR),"AERO-METRIC, INC.",Planning,100,3/5
160,,D-97-021-11,Location Design Studies (Rehabilitation); Highways (Roads & Streets); Structures (Highway: Typical),"ESCA CONSULTANTS, INC.",Design,100,4/7
160,,P-98-011-11,Highways (Roads & Streets); Structures (Highway: Typical); Environmental Reports (Environmental Impact Statement),"MACTEC, HORNER & SHIFRIN, AND BERNARDIN LOCHMUELLER (JOINT VENTURE)",Planning,89.0,5/8
160,,C-98-062-11,Special Services (Construction Inspection),"SCI ENGINEERING, INC.",Construction,100,5/8
160,,C-98-063-11,Special Services (Construction Inspection),"RHUTASEL & ASSOCIATES, INC.",Construction,97.0,5/8
160,,P-30-009-04,Special Services (Surveying); Highways (Roads & Streets),"Crawford, Murphy, & Tilly, Inc.",Planning,100,BDE
160,,D-60-034-12,Structures (Highway: Typical),"ABNA ENGINEERING, INC.",Design,100,Bureau of Operations
160,,D-30-001-12,Structures (Highway- Advanced Typical),WHKS & CO.,Design,100,BBS
160,,D-30-002-12,Structures (Highway: Typical),"OATES ASSOC., INC.",Design,100,BBS
160,,P-30-003-12,Highways (Roads & Streets); Special Services (Architecture),LEGAT & MACKIE (JOINT VENTURE),Planning,82.0,DPIT
160,,P-30-004-12,Highways (Roads & Streets); Environmental Reports (Environmental Assessment),"KNIGHT E/A, INC.",Planning,100,DPIT
160,,P-30-005-12,Special Services (Construction Inspection),"T.Y. LIN INTERNATIONAL GREAT LAKES, INC.",Planning,95.0,DPIT
160,,P-30-006-12,Structures (Railroad); Environmental Reports (Environmental Assessment); Transportation Studies (Railway Engineering),"PATRICK ENGINEERING, INC.",Planning,100,DPIT
